order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,100,3,102000,306000
2,1,87,5,25000,125000
3,1,7,3,142000,426000
4,1,9,3,193000,579000
5,2,72,4,189000,756000
6,3,33,5,124000,620000
7,3,20,3,80000,240000
8,3,11,5,115000,575000
9,4,45,3,62000,186000
10,4,84,4,78000,312000
11,5,77,1,71000,71000
12,5,40,5,174000,870000
13,6,83,3,24000,72000
14,6,17,5,84000,420000
15,6,12,4,175000,700000
16,6,66,3,39000,117000
17,7,47,3,11000,33000
18,8,28,3,5000,15000
19,8,99,4,200000,800000
20,9,29,2,78000,156000
21,9,20,1,80000,80000
22,10,13,5,164000,820000
23,10,99,5,200000,1000000
24,10,95,5,20000,100000
25,11,85,3,74000,222000
26,12,77,4,71000,284000
27,12,20,2,80000,160000
28,13,89,5,103000,515000
29,13,22,4,112000,448000
30,14,53,3,188000,564000
31,15,57,5,181000,905000
32,15,37,4,193000,772000
33,16,69,2,157000,314000
34,16,40,4,174000,696000
35,17,48,5,67000,335000
36,17,57,4,181000,724000
37,18,100,4,102000,408000
38,18,65,5,36000,180000
39,18,54,2,103000,206000
40,19,78,2,68000,136000
41,19,33,1,124000,124000
42,20,48,5,67000,335000
43,20,14,5,174000,870000
44,20,16,3,81000,243000
45,20,11,2,115000,230000
46,21,58,5,197000,985000
47,21,19,4,108000,432000
48,21,12,2,175000,350000
49,22,45,1,62000,62000
50,22,54,1,103000,103000
51,22,51,5,111000,555000
52,22,48,2,67000,134000
53,23,11,3,115000,345000
54,23,29,1,78000,78000
55,23,41,1,163000,163000
56,23,92,3,111000,333000
57,24,18,1,109000,109000
58,24,37,4,193000,772000
59,25,98,4,10000,40000
60,25,58,5,197000,985000
61,26,11,1,115000,115000
62,27,28,2,5000,10000
63,27,71,5,161000,805000
64,27,68,4,140000,560000
65,28,100,3,102000,306000
66,29,39,1,77000,77000
67,29,7,2,142000,284000
68,30,82,5,75000,375000
69,30,59,1,32000,32000
70,30,15,4,36000,144000
71,30,77,5,71000,355000
72,31,81,5,165000,825000
73,32,92,2,111000,222000
74,32,38,4,173000,692000
75,33,79,3,168000,504000
76,34,74,4,145000,580000
77,34,24,1,196000,196000
78,35,9,5,193000,965000
79,35,70,5,198000,990000
80,35,65,5,36000,180000
81,36,50,4,23000,92000
82,37,82,4,75000,300000
83,38,33,1,124000,124000
84,38,46,1,55000,55000
85,38,45,2,62000,124000
86,39,99,5,200000,1000000
87,40,18,1,109000,109000
88,40,46,5,55000,275000
89,40,44,2,177000,354000
90,41,90,4,44000,176000
91,41,81,2,165000,330000
92,41,18,1,109000,109000
93,41,92,4,111000,444000
94,42,38,2,173000,346000
95,43,26,1,82000,82000
96,44,40,5,174000,870000
97,44,51,5,111000,555000
98,44,61,3,50000,150000
99,45,97,2,154000,308000
100,46,46,1,55000,55000
101,46,84,3,78000,234000
102,46,35,1,59000,59000
103,47,56,4,42000,168000
104,47,96,4,112000,448000
105,47,50,3,23000,69000
106,48,64,4,147000,588000
107,48,48,5,67000,335000
108,49,11,4,115000,460000
109,49,11,4,115000,460000
110,49,78,2,68000,136000
111,50,42,1,28000,28000
112,50,11,3,115000,345000
113,50,85,3,74000,222000
114,51,58,5,197000,985000
115,51,92,4,111000,444000
116,51,22,4,112000,448000
117,52,58,1,197000,197000
118,52,94,3,124000,372000
119,52,79,4,168000,672000
120,53,82,1,75000,75000
121,53,10,4,55000,220000
122,53,47,5,11000,55000
123,54,4,2,70000,140000
124,54,78,4,68000,272000
125,55,17,1,84000,84000
126,56,100,3,102000,306000
127,56,47,4,11000,44000
128,57,78,2,68000,136000
129,58,48,3,67000,201000
130,58,57,1,181000,181000
131,58,74,2,145000,290000
132,58,68,3,140000,420000
133,59,41,3,163000,489000
134,59,32,1,172000,172000
135,59,4,2,70000,140000
136,59,64,5,147000,735000
137,60,72,1,189000,189000
138,60,34,3,118000,354000
139,60,91,4,59000,236000
140,60,28,5,5000,25000
141,61,89,4,103000,412000
142,61,26,1,82000,82000
143,61,18,1,109000,109000
144,62,23,4,102000,408000
145,62,12,3,175000,525000
