order_id,customer_id,order_date,payment_method,order_status,order_month,order_dayofweek
1,123,2026-07-02,card,completed,2026-07,Thursday
2,77,2025-09-17,naver_pay,cancelled,2025-09,Wednesday
3,138,2026-01-14,bank_transfer,cancelled,2026-01,Wednesday
4,57,2026-03-27,kakao_pay,cancelled,2026-03,Friday
5,125,2026-02-15,card,cancelled,2026-02,Sunday
6,87,2026-05-16,naver_pay,completed,2026-05,Saturday
7,120,2026-01-23,bank_transfer,refunded,2026-01,Friday
8,137,2025-09-28,card,cancelled,2025-09,Sunday
9,145,2026-03-17,card,completed,2026-03,Tuesday
10,110,2026-05-11,bank_transfer,cancelled,2026-05,Monday
11,47,2026-01-12,card,completed,2026-01,Monday
12,98,2025-09-06,kakao_pay,completed,2025-09,Saturday
13,117,2026-07-28,kakao_pay,completed,2026-07,Tuesday
14,98,2026-02-12,kakao_pay,cancelled,2026-02,Thursday
15,65,2026-07-18,card,cancelled,2026-07,Saturday
16,5,2026-03-11,card,completed,2026-03,Wednesday
17,58,2025-10-12,card,completed,2025-10,Sunday
18,8,2026-02-17,bank_transfer,completed,2026-02,Tuesday
19,6,2026-01-20,bank_transfer,completed,2026-01,Tuesday
20,33,2026-05-06,naver_pay,completed,2026-05,Wednesday
21,145,2026-08-14,bank_transfer,cancelled,2026-08,Friday
22,66,2026-07-20,kakao_pay,completed,2026-07,Monday
23,30,2026-02-27,bank_transfer,completed,2026-02,Friday
24,28,2026-06-03,card,completed,2026-06,Wednesday
25,148,2025-10-31,naver_pay,cancelled,2025-10,Friday
26,51,2026-02-18,card,refunded,2026-02,Wednesday
27,63,2025-11-09,card,completed,2025-11,Sunday
28,31,2026-06-13,card,completed,2026-06,Saturday
29,137,2026-03-23,naver_pay,completed,2026-03,Monday
30,18,2026-05-12,kakao_pay,completed,2026-05,Tuesday
31,108,2025-12-15,naver_pay,completed,2025-12,Monday
32,111,2026-04-29,kakao_pay,cancelled,2026-04,Wednesday
33,40,2026-07-12,naver_pay,completed,2026-07,Sunday
34,134,2026-08-25,kakao_pay,refunded,2026-08,Tuesday
35,138,2026-03-30,naver_pay,cancelled,2026-03,Monday
36,112,2026-06-29,kakao_pay,completed,2026-06,Monday
37,63,2026-03-08,card,completed,2026-03,Sunday
38,116,2026-03-01,bank_transfer,cancelled,2026-03,Sunday
39,146,2026-02-18,naver_pay,completed,2026-02,Wednesday
40,8,2026-07-19,naver_pay,completed,2026-07,Sunday
41,47,2026-06-12,naver_pay,completed,2026-06,Friday
42,91,2026-04-20,kakao_pay,completed,2026-04,Monday
43,72,2025-12-15,kakao_pay,refunded,2025-12,Monday
44,3,2026-01-05,bank_transfer,completed,2026-01,Monday
45,62,2026-07-29,naver_pay,cancelled,2026-07,Wednesday
46,143,2025-12-06,bank_transfer,cancelled,2025-12,Saturday
47,126,2026-07-21,naver_pay,completed,2026-07,Tuesday
48,24,2026-08-30,kakao_pay,completed,2026-08,Sunday
49,104,2025-10-05,bank_transfer,completed,2025-10,Sunday
50,149,2025-12-19,kakao_pay,cancelled,2025-12,Friday
51,142,2026-08-10,kakao_pay,cancelled,2026-08,Monday
52,141,2026-02-24,kakao_pay,completed,2026-02,Tuesday
53,117,2025-12-05,kakao_pay,completed,2025-12,Friday
54,65,2026-06-20,bank_transfer,completed,2026-06,Saturday
55,50,2026-03-01,kakao_pay,completed,2026-03,Sunday
56,138,2026-04-11,bank_transfer,completed,2026-04,Saturday
57,56,2026-04-27,naver_pay,completed,2026-04,Monday
58,135,2026-05-19,kakao_pay,completed,2026-05,Tuesday
59,50,2026-01-27,kakao_pay,completed,2026-01,Tuesday
60,93,2026-01-10,bank_transfer,completed,2026-01,Saturday
61,4,2025-09-13,bank_transfer,completed,2025-09,Saturday
62,12,2026-03-12,card,refunded,2026-03,Thursday
63,75,2026-07-29,bank_transfer,cancelled,2026-07,Wednesday
64,27,2026-01-06,card,refunded,2026-01,Tuesday
65,73,2025-11-11,naver_pay,cancelled,2025-11,Tuesday
66,113,2026-03-10,kakao_pay,completed,2026-03,Tuesday
67,14,2025-11-23,kakao_pay,cancelled,2025-11,Sunday
68,30,2026-01-17,card,cancelled,2026-01,Saturday
69,126,2026-07-08,card,refunded,2026-07,Wednesday
70,14,2025-12-11,bank_transfer,completed,2025-12,Thursday
71,145,2026-01-12,kakao_pay,completed,2026-01,Monday
72,64,2025-12-19,card,refunded,2025-12,Friday
73,107,2026-08-09,bank_transfer,refunded,2026-08,Sunday
74,98,2026-04-21,naver_pay,cancelled,2026-04,Tuesday
75,77,2026-06-01,naver_pay,completed,2026-06,Monday
76,146,2026-08-09,card,refunded,2026-08,Sunday
77,26,2025-12-18,bank_transfer,completed,2025-12,Thursday
78,68,2026-04-05,card,completed,2026-04,Sunday
79,62,2025-09-05,bank_transfer,refunded,2025-09,Friday
80,20,2026-03-21,bank_transfer,completed,2026-03,Saturday
81,105,2025-11-15,naver_pay,refunded,2025-11,Saturday
82,121,2025-10-05,kakao_pay,completed,2025-10,Sunday
83,60,2025-12-04,kakao_pay,completed,2025-12,Thursday
84,117,2026-06-08,card,completed,2026-06,Monday
85,68,2026-02-06,bank_transfer,cancelled,2026-02,Friday
86,30,2026-03-10,bank_transfer,completed,2026-03,Tuesday
87,69,2026-04-05,bank_transfer,completed,2026-04,Sunday
88,16,2026-06-23,bank_transfer,completed,2026-06,Tuesday
89,146,2025-12-04,kakao_pay,cancelled,2025-12,Thursday
90,32,2026-05-28,naver_pay,completed,2026-05,Thursday
91,104,2026-03-05,kakao_pay,refunded,2026-03,Thursday
92,139,2026-05-10,naver_pay,cancelled,2026-05,Sunday
93,21,2026-06-05,card,cancelled,2026-06,Friday
94,83,2026-03-11,kakao_pay,completed,2026-03,Wednesday
95,24,2026-02-23,bank_transfer,refunded,2026-02,Monday
96,6,2026-07-06,kakao_pay,refunded,2026-07,Monday
97,11,2025-09-08,bank_transfer,cancelled,2025-09,Monday
98,133,2025-10-08,naver_pay,completed,2025-10,Wednesday
99,47,2025-12-25,naver_pay,cancelled,2025-12,Thursday
100,24,2025-11-27,naver_pay,completed,2025-11,Thursday
101,105,2026-02-06,kakao_pay,completed,2026-02,Friday
102,27,2026-05-28,bank_transfer,completed,2026-05,Thursday
103,106,2025-12-05,naver_pay,completed,2025-12,Friday
104,103,2025-12-29,card,cancelled,2025-12,Monday
105,23,2026-05-17,kakao_pay,completed,2026-05,Sunday
106,83,2026-04-15,card,cancelled,2026-04,Wednesday
107,132,2026-01-23,card,refunded,2026-01,Friday
108,119,2026-03-04,naver_pay,completed,2026-03,Wednesday
109,49,2026-04-04,kakao_pay,refunded,2026-04,Saturday
110,128,2026-03-27,naver_pay,completed,2026-03,Friday
111,53,2026-01-13,kakao_pay,refunded,2026-01,Tuesday
112,34,2026-02-14,kakao_pay,cancelled,2026-02,Saturday
113,125,2026-06-18,card,completed,2026-06,Thursday
114,62,2026-04-03,bank_transfer,completed,2026-04,Friday
115,142,2026-01-08,card,refunded,2026-01,Thursday
116,105,2026-01-16,card,completed,2026-01,Friday
117,30,2026-06-01,naver_pay,completed,2026-06,Monday
118,40,2026-02-25,naver_pay,completed,2026-02,Wednesday
119,131,2025-12-16,kakao_pay,cancelled,2025-12,Tuesday
120,124,2025-12-30,naver_pay,completed,2025-12,Tuesday
121,117,2025-12-08,bank_transfer,cancelled,2025-12,Monday
122,49,2025-11-30,bank_transfer,completed,2025-11,Sunday
123,71,2025-10-18,naver_pay,completed,2025-10,Saturday
124,130,2026-06-09,kakao_pay,completed,2026-06,Tuesday
125,73,2025-11-15,kakao_pay,refunded,2025-11,Saturday
126,149,2026-01-02,naver_pay,completed,2026-01,Friday
127,115,2025-10-18,naver_pay,completed,2025-10,Saturday
128,86,2026-06-17,naver_pay,cancelled,2026-06,Wednesday
129,83,2026-03-29,bank_transfer,completed,2026-03,Sunday
130,147,2026-06-25,naver_pay,completed,2026-06,Thursday
131,106,2026-05-28,card,completed,2026-05,Thursday
132,122,2025-11-12,naver_pay,cancelled,2025-11,Wednesday
133,39,2025-11-15,naver_pay,completed,2025-11,Saturday
134,33,2025-11-25,kakao_pay,completed,2025-11,Tuesday
135,113,2026-06-15,card,refunded,2026-06,Monday
136,117,2026-03-09,card,completed,2026-03,Monday
137,105,2025-12-18,bank_transfer,completed,2025-12,Thursday
138,121,2026-06-10,kakao_pay,completed,2026-06,Wednesday
139,102,2026-04-18,card,completed,2026-04,Saturday
140,137,2026-06-24,naver_pay,completed,2026-06,Wednesday
141,125,2026-03-24,card,refunded,2026-03,Tuesday
142,18,2026-04-21,bank_transfer,completed,2026-04,Tuesday
143,59,2025-12-20,card,cancelled,2025-12,Saturday
144,26,2025-10-11,card,cancelled,2025-10,Saturday
145,43,2026-07-22,kakao_pay,completed,2026-07,Wednesday
146,12,2025-11-16,kakao_pay,completed,2025-11,Sunday
147,76,2025-12-26,kakao_pay,completed,2025-12,Friday
148,111,2025-11-29,bank_transfer,completed,2025-11,Saturday
149,136,2026-01-20,naver_pay,refunded,2026-01,Tuesday
150,47,2025-11-10,bank_transfer,completed,2025-11,Monday
151,21,2025-12-28,naver_pay,refunded,2025-12,Sunday
152,62,2025-09-07,naver_pay,refunded,2025-09,Sunday
153,37,2026-06-03,bank_transfer,cancelled,2026-06,Wednesday
154,66,2026-03-28,naver_pay,completed,2026-03,Saturday
