단어,평균_TFIDF
2027,0.022806614303759687
2026,0.014421494404430149
해커스,0.01028156385591974
기본서,0.009225577627751596
세트,0.008906810380580039
에디션,0.007372243437366515
기출문제집,0.007274269495483924
토익,0.006968070160760047
the,0.006315384717416707
해커스경찰,0.005790928399973663
기념,0.00550695247021395
2026년,0.005393553391326126
ai,0.005258525570558268
공단기,0.0051720754411753965
읽는,0.005090160240751121
초판본,0.004723683252206349
끝내는,0.004690910340683967
해커스공무원,0.004610668130643949
모의고사,0.004474910974338226
jlpt,0.004459155480263194
rc,0.0043315825498402225
lc,0.004324404447741077
일본어능력시험,0.004145322605560959
실전모의고사,0.004056017415071025
통합,0.004038711969785017
영어,0.00397746919483663
공무원,0.0039213215219318035
심슨,0.0038398267036763144
수업,0.0037208401897587187
내가,0.0036537862781103455
