customer_label,city,order_count,total_sales,avg_order_value
Customer 01,성남,5,4100000,820000.0
Customer 02,고양,4,3996000,999000.0
Customer 03,수원,4,3880000,970000.0
Customer 04,서울,5,3590000,718000.0
Customer 05,서울,4,3523000,880750.0
Customer 06,인천,2,3191000,1595500.0
Customer 07,성남,2,3178000,1589000.0
Customer 08,광주,3,3153000,1051000.0
Customer 09,서울,4,3093000,773250.0
Customer 10,부산,2,2990000,1495000.0
Customer 11,고양,3,2960000,986667.0
Customer 12,광주,3,2837000,945667.0
Customer 13,울산,2,2834000,1417000.0
Customer 14,성남,2,2812000,1406000.0
Customer 15,대전,4,2419000,604750.0
Customer 16,인천,3,2411000,803667.0
Customer 17,고양,2,2389000,1194500.0
Customer 18,부산,2,2343000,1171500.0
Customer 19,고양,2,2330000,1165000.0
Customer 20,고양,2,2325000,1162500.0
Customer 21,대구,2,2170000,1085000.0
Customer 22,고양,2,2122000,1061000.0
Customer 23,인천,3,2107000,702333.0
Customer 24,부산,2,2058000,1029000.0
Customer 25,울산,2,2022000,1011000.0
Customer 26,부산,2,2004000,1002000.0
Customer 27,서울,3,1961000,653667.0
Customer 28,성남,3,1956000,652000.0
Customer 29,대전,2,1942000,971000.0
Customer 30,대전,1,1931000,1931000.0
Customer 31,수원,2,1913000,956500.0
Customer 32,고양,1,1863000,1863000.0
Customer 33,울산,3,1831000,610333.0
Customer 34,울산,3,1829000,609667.0
Customer 35,대전,2,1675000,837500.0
Customer 36,광주,1,1626000,1626000.0
Customer 37,서울,2,1625000,812500.0
Customer 38,광주,2,1620000,810000.0
Customer 39,성남,3,1591000,530333.0
Customer 40,울산,3,1587000,529000.0
Customer 41,울산,1,1549000,1549000.0
Customer 42,수원,2,1532000,766000.0
Customer 43,광주,2,1496000,748000.0
Customer 44,수원,2,1470000,735000.0
Customer 45,대전,2,1460000,730000.0
Customer 46,서울,2,1445000,722500.0
Customer 47,서울,1,1436000,1436000.0
Customer 48,울산,2,1395000,697500.0
Customer 49,성남,2,1349000,674500.0
Customer 50,대구,1,1298000,1298000.0
Customer 51,부산,1,1295000,1295000.0
Customer 52,광주,1,1241000,1241000.0
Customer 53,대구,1,1229000,1229000.0
Customer 54,성남,1,1197000,1197000.0
Customer 55,인천,1,1173000,1173000.0
Customer 56,부산,1,1173000,1173000.0
Customer 57,대구,1,1142000,1142000.0
Customer 58,서울,2,1132000,566000.0
Customer 59,성남,1,1098000,1098000.0
Customer 60,대전,1,1064000,1064000.0
Customer 61,성남,1,1059000,1059000.0
Customer 62,성남,3,1032000,344000.0
Customer 63,인천,2,1029000,514500.0
Customer 64,대구,2,1000000,500000.0
Customer 65,성남,1,1000000,1000000.0
Customer 66,울산,1,996000,996000.0
Customer 67,부산,2,937000,468500.0
Customer 68,성남,1,924000,924000.0
Customer 69,인천,1,923000,923000.0
Customer 70,대전,1,905000,905000.0
Customer 71,인천,2,898000,449000.0
Customer 72,성남,1,881000,881000.0
Customer 73,수원,2,862000,431000.0
Customer 74,고양,1,860000,860000.0
Customer 75,광주,1,837000,837000.0
Customer 76,부산,1,804000,804000.0
Customer 77,성남,1,760000,760000.0
Customer 78,대구,1,735000,735000.0
Customer 79,울산,2,734000,367000.0
Customer 80,서울,2,643000,321500.0
Customer 81,울산,1,603000,603000.0
Customer 82,성남,1,579000,579000.0
Customer 83,수원,1,569000,569000.0
Customer 84,인천,1,526000,526000.0
Customer 85,광주,1,512000,512000.0
Customer 86,성남,1,471000,471000.0
Customer 87,인천,2,456000,228000.0
Customer 88,대전,1,396000,396000.0
Customer 89,수원,1,394000,394000.0
Customer 90,대구,1,350000,350000.0
Customer 91,광주,1,344000,344000.0
Customer 92,광주,1,306000,306000.0
Customer 93,광주,1,292000,292000.0
Customer 94,고양,1,271000,271000.0
Customer 95,서울,1,267000,267000.0
Customer 96,대구,1,262000,262000.0
Customer 97,서울,1,252000,252000.0
Customer 98,서울,2,130000,65000.0
Customer 99,인천,1,118000,118000.0
Customer 100,성남,2,112000,56000.0
